Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/logs/random,201,0,21000.0,19706.776702487634,3432.715000000826,33793.43270000027,412.8358208955224,0.9844009044060976,0.0,21000,23000,25000,26000,29000,30000,32000,33000,34000,34000,34000
POST,/rate,457,0,4100.0,4535.955138293225,734.0610999999626,12497.651399999086,58.40262582056893,2.2381652403661025,0.0,4100,4900,5400,5800,7400,9600,11000,12000,12000,12000,12000
GET,/search?query=Chasing&type=song,154,0,1400.0,1401.054997402528,268.9215999998851,2315.718599998945,131.05194805194805,0.7542176083509404,0.0,1400,1700,1800,1900,1900,2000,2200,2300,2300,2300,2300
GET,/search?query=Else&type=song,122,0,1400.0,1386.7135909835654,212.8642999996373,2830.015199999252,152.5737704918033,0.5974970663559398,0.0,1400,1600,1800,1800,2000,2100,2200,2200,2800,2800,2800
GET,/search?query=Love&type=song,139,0,1500.0,1404.8560712230378,221.26849999949627,2387.049399998432,525.5611510791367,0.6807548542907839,0.0,1500,1700,1800,1900,2000,2100,2300,2300,2400,2400,2400
GET,/search?query=One&type=song,121,0,1500.0,1396.788401652945,247.49830000109796,2278.856500000984,511.55371900826447,0.592599549418596,0.0,1500,1600,1700,1800,2000,2100,2100,2100,2300,2300,2300
GET,/search?query=Unuttun&type=song,110,0,1400.0,1398.7376900000363,454.77870000104303,2329.5273000003363,129.3,0.5387268631078146,0.0,1400,1600,1700,1800,1900,2000,2100,2100,2300,2300,2300
,Aggregated,1304,0,2100.0,5319.848680598167,212.8642999996373,33793.43270000027,228.25153374233128,6.386362086296275,0.0,2100,4000,5200,6400,18000,23000,28000,30000,34000,34000,34000
