Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/logs/random,38,0,30000.0,29430.19476842121,25505.11649999862,32579.320000000735,436.4736842105263,0.27531201139706213,0.0,30000,31000,31000,31000,32000,32000,33000,33000,33000,33000,33000
POST,/rate,78,0,5400.0,6703.942121794919,3021.4943000009953,19500.755499999286,56.333333333333336,0.5651141286571275,0.0,5500,5900,6300,6900,15000,17000,18000,20000,20000,20000,20000
GET,/search?query=Chasing&type=song,24,0,2700.0,2860.7305791666327,1632.461899998816,4480.430699999488,126.79166666666667,0.17388127035603926,0.0,2800,3000,3400,3500,3600,3700,4500,4500,4500,4500,4500
GET,/search?query=Else&type=song,24,0,3000.0,3092.299504166552,2252.7933999990637,4339.820899998813,152.41666666666666,0.17388127035603926,0.0,3000,3200,3400,3600,3900,4300,4300,4300,4300,4300,4300
GET,/search?query=Love&type=song,28,0,3000.0,3008.2957464284978,2324.8644999985117,3657.72189999916,523.8214285714286,0.2028614820820458,0.0,3000,3200,3300,3300,3500,3700,3700,3700,3700,3700,3700
GET,/search?query=One&type=song,28,0,2800.0,2817.07711785722,1618.0594000015844,4218.92250000019,508.39285714285717,0.2028614820820458,0.0,2800,3000,3100,3200,3400,3800,4200,4200,4200,4200,4200
GET,/search?query=Unuttun&type=song,32,0,2900.0,2841.0586093748975,636.1575000009907,3825.2114999995683,123.5,0.23184169380805233,0.0,2900,3200,3400,3400,3500,3700,3800,3800,3800,3800,3800
,Aggregated,252,0,3600.0,8087.904461904771,636.1575000009907,32579.320000000735,240.21825396825398,1.8257533387384122,0.0,3600,5200,6000,7200,28000,31000,31000,32000,33000,33000,33000
